Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
70,240,60,0,1,2,e,1,2,p
0,240,60,0,1,5,e,2,2,p
79,960,60,240,2,2,h,3,2,p
39,240,60,240,2,5,e,4,2,p
63,240,60,480,2,5,e,5,2,p
55,240,60,480,2,5,e,6,1,p
67,240,60,720,2,5,e,7,2,p
63,240,60,720,2,5,e,8,1,p
58,240,60,720,2,5,e,9,1,p
51,240,60,960,2,5,e,10,2,p
77,240,60,1200,2,2,e,11,2,p
62,240,60,1200,2,5,e,12,2,p
56,240,60,1200,2,5,e,13,1,p
79,240,60,1440,2,2,e,14,2,p
68,240,60,1440,2,5,e,15,2,p
62,240,60,1440,2,5,e,16,1,p
59,240,60,1440,2,5,e,17,1,p
77,720,60,1680,2,2,c,18,2,p
39,240,60,1680,2,5,e,19,2,p
63,240,60,1920,2,5,e,20,2,p
55,240,60,1920,2,5,e,21,1,p
67,240,60,2160,2,5,e,22,2,p
63,240,60,2160,2,5,e,23,1,p
58,240,60,2160,2,5,e,24,1,p
75,480,60,2400,2,2,q,25,2,p
38,240,60,2400,2,5,e,26,2,p
63,240,60,2640,2,5,e,27,2,p
55,240,60,2640,2,5,e,28,1,p
70,240,60,2880,2,2,e,29,2,p
67,240,60,2880,2,5,e,30,2,p
63,240,60,2880,2,5,e,31,1,p
58,240,60,2880,2,5,e,32,1,p
79,480,60,3120,3,2,q,33,2,p
36,240,60,3120,3,5,e,34,2,p
64,240,60,3360,3,5,e,35,2,p
55,240,60,3360,3,5,e,36,1,p
72,240,60,3600,3,2,e,37,2,p
67,240,60,3600,3,5,e,38,2,p
64,240,60,3600,3,5,e,39,1,p
58,240,60,3600,3,5,e,40,1,p
84,480,60,3840,3,2,q,41,2,p
48,240,60,3840,3,5,e,42,2,p
64,240,60,4080,3,5,e,43,2,p
55,240,60,4080,3,5,e,44,1,p
79,240,60,4320,3,2,e,45,2,p
70,240,60,4320,3,5,e,46,2,p
64,240,60,4320,3,5,e,47,1,p
60,240,60,4320,3,5,e,48,1,p
82,720,60,4560,3,2,c,49,2,p
41,240,60,4560,3,5,e,50,2,p
61,240,60,4800,3,5,e,51,2,p
53,240,60,4800,3,5,e,52,1,p
64,240,60,5040,3,5,e,53,2,p
61,240,60,5040,3,5,e,54,1,p
58,240,60,5040,3,5,e,55,1,p
80,480,60,5280,3,2,q,56,2,p
41,240,60,5280,3,5,e,57,2,p
60,240,60,5520,3,5,e,58,2,p
53,240,60,5520,3,5,e,59,1,p
79,240,60,5760,3,2,e,60,2,p
65,240,60,5760,3,5,e,61,2,p
60,240,60,5760,3,5,e,62,1,p
56,240,60,5760,3,5,e,63,1,p
77,720,60,6000,4,2,c,64,2,p
46,240,60,6000,4,5,e,65,2,p
62,240,60,6240,4,5,e,66,2,p
53,240,60,6240,4,5,e,67,1,p
68,240,60,6480,4,5,e,68,2,p
62,240,60,6480,4,5,e,69,1,p
58,240,60,6480,4,5,e,70,1,p
79,480,60,6720,4,2,q,71,2,p
47,240,60,6720,4,5,e,72,2,p
65,240,60,6960,4,5,e,73,2,p
55,240,60,6960,4,5,e,74,1,p
74,240,60,7200,4,2,e,75,2,p
67,240,60,7200,4,5,e,76,2,p
65,240,60,7200,4,5,e,77,1,p
62,240,60,7200,4,5,e,78,1,p
75,720,60,7440,4,2,c,79,2,p
48,240,60,7440,4,5,e,80,2,p
63,240,60,7680,4,5,e,81,2,p
55,240,60,7680,4,5,e,82,1,p
67,240,60,7920,4,5,e,83,2,p
63,240,60,7920,4,5,e,84,1,p
60,240,60,7920,4,5,e,85,1,p
72,720,60,8160,4,2,c,86,2,p
45,240,60,8160,4,5,e,87,2,p
63,240,60,8400,4,5,e,88,2,p
54,240,60,8400,4,5,e,89,1,p
66,240,60,8640,4,5,e,90,2,p
63,240,60,8640,4,5,e,91,1,p
60,240,60,8640,4,5,e,92,1,p
70,240,60,8880,5,2,e,93,2,p
46,240,60,8880,5,5,e,94,2,p
86,240,60,9120,5,2,e,95,2,p
63,240,60,9120,5,5,e,96,2,p
53,240,60,9120,5,5,e,97,1,p
84,240,60,9360,5,2,e,98,2,p
68,240,60,9360,5,5,e,99,2,p
63,240,60,9360,5,5,e,100,1,p
58,240,60,9360,5,5,e,101,1,p
82,120,60,9600,5,2,s,102,2,p
34,240,60,9600,5,5,e,103,2,p
80,120,60,9720,5,2,s,104,2,p
79,120,60,9840,5,2,s,105,2,p
62,240,60,9840,5,5,e,106,2,p
53,240,60,9840,5,5,e,107,1,p
80,120,60,9960,5,2,s,108,2,p
72,120,60,10080,5,2,s,109,2,p
68,240,60,10080,5,5,e,110,2,p
58,240,60,10080,5,5,e,111,1,p
74,120,60,10200,5,2,s,112,2,p
75,720,60,10320,5,2,c,113,2,p
39,240,60,10320,5,5,e,114,2,p
63,240,60,10560,5,5,e,115,2,p
55,240,60,10560,5,5,e,116,1,p
67,240,60,10800,5,5,e,117,2,p
63,240,60,10800,5,5,e,118,1,p
58,240,60,10800,5,5,e,119,1,p
51,240,60,11040,5,5,e,120,2,p
0,480,60,11040,5,2,q,121,2,p
63,240,60,11280,5,5,e,122,2,p
55,240,60,11280,5,5,e,123,1,p
70,240,60,11520,5,2,e,124,2,p
67,240,60,11520,5,5,e,125,2,p
63,240,60,11520,5,5,e,126,1,p
58,240,60,11520,5,5,e,127,1,p
79,720,60,11760,6,2,c,128,2,p
51,240,60,11760,6,5,e,129,2,p
63,240,60,12000,6,5,e,130,2,p
55,240,60,12000,6,5,e,131,1,p
67,240,60,12240,6,5,e,132,2,p
63,240,60,12240,6,5,e,133,1,p
58,240,60,12240,6,5,e,134,1,p
77,120,60,12480,6,2,s,135,2,p
51,240,60,12480,6,5,e,136,2,p
79,120,60,12600,6,2,s,137,2,p
77,120,60,12720,6,2,s,138,2,p
62,240,60,12720,6,5,e,139,2,p
56,240,60,12720,6,5,e,140,1,p
76,120,60,12840,6,2,s,141,2,p
77,120,60,12960,6,2,s,142,2,p
68,240,60,12960,6,5,e,143,2,p
62,240,60,12960,6,5,e,144,1,p
59,240,60,12960,6,5,e,145,1,p
79,120,60,13080,6,2,s,146,2,p
77,240,60,13200,6,2,e,147,2,p
51,240,60,13200,6,5,e,148,2,p
75,600,60,13440,6,2,0,149,2,p
63,240,60,13440,6,5,e,150,2,p
55,240,60,13440,6,5,e,151,1,p
67,240,60,13680,6,5,e,152,2,p
63,240,60,13680,6,5,e,153,1,p
58,240,60,13680,6,5,e,154,1,p
50,240,60,13920,6,5,e,155,2,p
77,120,60,14040,6,2,s,156,2,p
75,120,60,14160,6,2,s,157,2,p
63,240,60,14160,6,5,e,158,2,p
55,240,60,14160,6,5,e,159,1,p
74,120,60,14280,6,2,s,160,2,p
75,120,60,14400,6,2,s,161,2,p
67,240,60,14400,6,5,e,162,2,p
63,240,60,14400,6,5,e,163,1,p
58,240,60,14400,6,5,e,164,1,p
77,120,60,14520,6,2,s,165,2,p
79,120,60,14640,7,2,s,166,2,p
48,240,60,14640,7,5,e,167,2,p
71,120,60,14760,7,2,s,168,2,p
72,120,60,14880,7,2,s,169,2,p
