Pitch,Octave,Duration,Dynamic
B-,4,0.5,mf
G,5,1.5,mf
G,5,0.5,mf
F,5,0.5,mf
G,5,0.5,mf
F,5,1.5,mf
E-,5,1.0,mf
B-,4,0.5,mf
G,5,1.0,mf
C,5,1/10,mf
D-,5,1/10,mf
C,5,1/10,mf
B,4,1/10,mf
C,5,1/10,mf
C,6,1.0,mf
G,5,0.5,mf
B-,5,1.5,mf
A-,5,1.0,mf
G,5,0.5,mf
F,5,1.5,mf
G,5,1.0,mf
D,5,0.5,mf
E-,5,1.5,mf
C,5,1.5,mf
B-,4,0.5,mf
D,6,0.5,mf
C,6,0.5,mf
B-,5,0.25,mf
A-,5,0.25,mf
G,5,0.25,mf
A-,5,0.25,mf
C,5,0.25,mf
D,5,0.25,mf
E-,5,1.5,mf
B-,4,0.5,mf
G,5,1.5,mf
F,5,0.25,mf
G,5,0.25,mf
F,5,0.25,mf
E,5,0.25,mf
F,5,0.25,mf
G,5,0.25,mf
F,5,0.5,mf
E-,5,1.0,mf
E-,5,0.25,mf
F,5,0.25,mf
E-,5,0.25,mf
D,5,0.25,mf
E-,5,0.25,mf
F,5,0.25,mf
G,5,0.25,mf
B,4,0.25,mf
C,5,0.25,mf
D-,5,0.25,mf
C,5,0.25,mf
F,5,0.25,mf
E,5,0.25,mf
A-,5,0.25,mf
G,5,0.25,mf
D-,6,0.25,mf
C,6,0.25,mf
G,5,0.25,mf
B-,5,1.5,mf
A-,5,1.0,mf
G,5,0.5,mf
F,5,1.5,mf
E,5,0.0,mf
F,5,0.0,mf
G,5,0.5,mf
G,5,0.5,mf
D,5,0.5,mf
E-,5,1.5,mf
C,5,1.5,mf
B-,4,0.5,mf
D,6,0.5,mf
C,6,0.5,mf
B-,5,0.25,mf
A-,5,0.25,mf
G,5,0.25,mf
A-,5,0.25,mf
C,5,0.25,mf
D,5,0.25,mf
E-,5,1.5,mf
D,5,0.5,mf
E-,5,0.5,mf
F,5,1.5,mf
G,5,1.0,mf
F,5,0.5,mf
F,5,1.5,mf
C,5,1.5,mf
E-,5,0.5,mf
E-,5,0.5,mf
E-,5,0.5,mf
E-,5,0.5,mf
D,5,0.25,mf
E-,5,0.25,mf
F,5,0.375,mf
E-,5,0.125,mf
E-,5,1.5,mf
B-,4,1.5,mf
B-,5,1.5,mf
A,5,1.0,mf
G,5,0.5,mf
F,5,1.5,mf
D,5,1.5,mf
E-,5,1.5,mf
D,5,0.5,mf
C,5,0.5,mf
D,5,0.5,mf
B-,4,0.5,mf
B,4,0.5,mf
B,4,0.5,mf
C,5,0.5,mf
C,5,0.5,mf
D,5,0.5,mf
G,4,0.0,mf
B-,4,0.0,mf
E-,5,0.0,mf
G,5,0.5,mf
G,5,0.5,mf
A,4,0.25,mf
B-,4,0.25,mf
C-,5,0.25,mf
B-,4,0.25,mf
C#,5,0.25,mf
D,5,0.25,mf
G,5,0.375,mf
F,5,0.125,mf
F,5,1.0,mf
E-,5,0.5,mf
E-,5,0.25,mf
F,5,0.25,mf
E-,5,0.25,mf
D,5,0.25,mf
E-,5,0.25,mf
F,5,0.25,mf
G,5,0.25,mf
B,4,0.25,mf
C,5,0.25,mf
D-,5,0.25,mf
C,5,0.25,mf
F,5,0.25,mf
E,5,0.25,mf
A-,5,0.25,mf
G,5,0.25,mf
D-,6,0.25,mf
C,6,0.25,mf
G,5,0.25,mf
B-,5,1.5,mf
A-,5,1.0,mf
G,5,0.5,mf
F,5,1.5,mf
E,5,0.0,mf
F,5,0.0,mf
G,5,0.5,mf
G,5,0.5,mf
D,5,0.5,mf
E-,5,1.5,mf
C,5,1.5,mf
B-,4,0.5,mf
D,6,0.5,mf
D-,6,0.5,mf
C,6,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
A,5,0.125,mf
A-,5,0.125,mf
F,5,0.125,mf
D,5,0.125,mf
C-,5,0.125,mf
B-,4,1/10,mf
D,5,1/10,mf
G,5,1/10,mf
F,5,1/10,mf
E-,5,1/10,mf
E-,5,1.5,mf
D,5,0.5,mf
E-,5,0.5,mf
F,5,1.5,mf
G,5,1.0,mf
F,5,0.5,mf
F,5,1.5,mf
C,5,1.5,mf
E-,5,0.375,mf
E-,5,0.375,mf
E-,5,0.375,mf
E-,5,0.375,mf
E-,5,0.5,mf
D,5,0.25,mf
E-,5,0.25,mf
F,5,0.375,mf
E-,5,0.125,mf
E-,5,1.5,mf
B-,4,1.5,mf
B-,5,1.5,mf
A,5,1.0,mf
G,5,0.5,mf
F,5,1.5,mf
D,5,1.5,mf
E-,5,1.5,mf
D,5,0.5,mf
C,5,0.5,mf
D,5,0.5,mf
B-,4,0.5,mf
B,4,0.5,mf
B,4,0.5,mf
C,5,0.5,mf
C,5,0.5,mf
D,5,0.5,mf
G,4,0.0,mf
B-,4,0.0,mf
E-,5,0.0,mf
G,5,0.5,mf
G,5,0.5,mf
A,4,0.25,mf
B-,4,0.25,mf
C-,5,0.25,mf
B-,4,0.25,mf
C#,5,0.25,mf
D,5,0.25,mf
G,5,0.375,mf
F,5,0.125,mf
F,5,1.0,mf
E-,5,0.5,mf
E-,5,0.25,mf
F,5,0.25,mf
E-,5,0.25,mf
D,5,0.25,mf
E-,5,0.25,mf
F,5,0.25,mf
G,5,0.25,mf
B,4,0.25,mf
C,5,0.25,mf
D-,5,0.25,mf
C,5,0.25,mf
F,5,0.25,mf
E,5,0.25,mf
A-,5,0.25,mf
G,5,0.25,mf
D-,6,0.25,mf
C,6,0.25,mf
G,5,0.25,mf
B-,5,1.5,mf
A-,5,1.0,mf
G,5,0.5,mf
F,5,1.5,mf
E,5,0.0,mf
F,5,0.0,mf
G,5,0.5,mf
G,5,0.5,mf
D,5,0.5,mf
E-,5,1.5,mf
C,5,1.5,mf
B-,4,0.25,mf
D,6,0.5,mf
D-,6,0.25,mf
C,6,0.375,mf
B,5,0.125,mf
B-,5,0.25,mf
A,5,0.25,mf
A-,5,1/10,mf
A,4,1/10,mf
B-,4,1/10,mf
B,4,1/10,mf
C,5,1/10,mf
D-,5,1/10,mf
D,5,1/10,mf
G,5,1/10,mf
F,5,1/10,mf
E-,5,1/10,mf
E-,5,3.0,mf
E-,5,1.5,mf
F,5,0.5,mf
E-,5,0.5,mf
F,5,0.5,mf
G,5,3.0,mf
E-,5,1.5,mf
E-,5,0.25,mf
F,5,0.25,mf
E-,5,0.25,mf
F,5,0.25,mf
E-,5,0.25,mf
F,5,0.25,mf
G,5,1.0,mf
E-,5,1/10,mf
F,5,1/10,mf
E-,5,1/10,mf
D,5,1/10,mf
E-,5,1/10,mf
E-,6,0.5,mf
D,6,0.5,mf
C,6,0.5,mf
B-,5,1.0,mf
A,5,0.5,mf
A-,5,0.5,mf
C,5,0.5,mf
D,5,0.5,mf
E-,5,0.5,mf
F,5,0.25,mf
E-,5,0.25,mf
D,5,0.25,mf
E-,5,0.25,mf
E-,5,0.0,mf
G,6,0.5,mf
F,6,0.25,mf
E-,6,0.25,mf
D,6,0.25,mf
C,6,0.25,mf
B,5,0.5,mf
B-,5,0.5,mf
A,5,0.5,mf
A,5,0.25,mf
A-,5,0.25,mf
A-,5,0.25,mf
G,5,0.25,mf
G,5,0.375,mf
F,5,0.125,mf
E-,5,3.0,mf
E-,5,1.5,mf
E-,5,1/6,mf
F,5,1/6,mf
E-,5,1/6,mf
F,5,1/6,mf
E-,5,1/6,mf
F,5,1/6,mf
E-,5,0.25,mf
F,5,0.25,mf
G,5,3.0,mf
E-,5,0.5,mf
A-,4,0.25,mf
B-,4,0.25,mf
A-,4,0.25,mf
G,4,0.25,mf
A-,4,0.25,mf
B,4,0.25,mf
E-,5,0.25,mf
A-,5,0.25,mf
E-,6,0.375,mf
F,6,0.125,mf
G,6,0.5,mf
E-,6,0.5,mf
E-,6,1.0,mf
D,6,0.5,mf
C,6,0.5,mf
B,5,0.5,mf
B-,5,0.5,mf
A,5,0.5,mf
A-,5,0.5,mf
G,5,0.5,mf
D,5,0.5,mf
E-,5,0.5,mf
E-,6,1.0,mf
E-,6,0.5,mf
F,5,0.5,mf
C,6,0.5,mf
B,5,3.0,mf
B-,5,3.0,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
C,6,0.125,mf
A,5,0.125,mf
B,5,0.125,mf
B-,5,0.125,mf
D,6,0.125,mf
C,6,0.125,mf
B-,5,0.125,mf
A,5,0.125,mf
A-,5,0.125,mf
G,5,0.125,mf
F,5,0.125,mf
D,5,0.125,mf
E-,5,0.125,mf
C,5,0.125,mf
B-,4,0.125,mf
A-,4,0.125,mf
C,5,0.125,mf
D,5,0.125,mf
E-,5,3.0,mf
B-,5,3.0,mf
E-,6,3.0,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-3.D4,,0.5,mf
B3.D4.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E4,,0.5,mf
B-3.E4.G4,,0.5,mf
G3.E4,,0.5,mf
C4.E4.B-4,,0.5,mf
F3.D-4,,0.5,mf
B-3.D-4.E4,,0.5,mf
F3.C4,,0.5,mf
A-3.C4.F4,,0.5,mf
F3.D4,,0.5,mf
D4.A-4,,0.5,mf
G3.F4,,0.5,mf
D4.F4.G4,,0.5,mf
G3.E-4,,0.5,mf
C4.E-4.G4,,0.5,mf
G-3.E-4,,0.5,mf
C4.E-4.G-4,,0.5,mf
F3.E-4,,0.5,mf
B-3.E-4.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-3.D4,,0.5,mf
C-4.D4.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E4,,0.5,mf
B-3.E4.G4,,0.5,mf
G3.E4,,0.5,mf
C4.E4.B-4,,0.5,mf
F3.D-4,,0.5,mf
B-3.D-4.E4,,0.5,mf
F3.C4,,0.5,mf
A-3.C4.F4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.A-4,,0.5,mf
G3.F4,,0.5,mf
D4.F4.G4,,0.5,mf
G3.E-4,,0.5,mf
C4.E-4.G4,,0.5,mf
G-3.E-4,,0.5,mf
C4.E-4.G-4,,0.5,mf
F3.E-4,,0.5,mf
B-3.E-4.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.F4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.F4,,0.5,mf
F3.C4,,0.5,mf
C4.F4,,0.5,mf
F3.C4,,0.5,mf
C4.F4,,0.5,mf
E-3.C4,,0.5,mf
A-3.C4.E-4,,0.5,mf
E-3.C-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
E3.D-4,,0.5,mf
B-3.D-4.G4,,0.5,mf
E3.C4,,0.5,mf
B-3.C4.G4,,0.5,mf
F3.E-4,,0.5,mf
C4.E-4.A4,,0.5,mf
G3.D4,,0.5,mf
B-3.D4.B-4,,0.5,mf
G,4,0.5,mf
G3.E-4,,0.5,mf
C4.E-4.G4,,0.5,mf
A,3,0.5,mf
E-4.A4,,0.5,mf
E-4.A4,,0.5,mf
F4.B-4,,0.5,mf
E-4.B4,,0.5,mf
E4.B4,,0.5,mf
E4.B-4.C5,,0.5,mf
A4.C5,,0.5,mf
A-4.D5,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-3.D4,,0.5,mf
B-3.D4.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E4,,0.5,mf
B-3.E4.G4,,0.5,mf
G3.E4,,0.5,mf
C4.E4.B-4,,0.5,mf
F3.D-4,,0.5,mf
B-3.D-4.E4,,0.5,mf
F3.C4,,0.5,mf
A-3.C4.F4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.A-4,,0.5,mf
G3.F4,,0.5,mf
D4.F4.G4,,0.5,mf
G3.E-4,,0.5,mf
C4.E-4.G4,,0.5,mf
G-3.E-4,,0.5,mf
C4.E-4.G-4,,0.5,mf
F3.E-4,,0.5,mf
B-3.E-4.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.F4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.F4,,0.5,mf
F3.C4,,0.5,mf
C4.F4,,0.5,mf
F3.C4,,0.5,mf
C4.F4,,0.5,mf
E-3.C4,,0.5,mf
A-3.C4.E-4,,0.5,mf
E-3.C-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
E3.D-4,,0.5,mf
B-3.D-4.G4,,0.5,mf
E3.C4,,0.5,mf
B-3.C4.G4,,0.5,mf
F3.E-4,,0.5,mf
C4.E-4.A4,,0.5,mf
G3.D4,,0.5,mf
B-3.D4.B-4,,0.5,mf
G,4,0.5,mf
G3.E-4,,0.5,mf
C4.E-4.G4,,0.5,mf
A,3,0.5,mf
E-4.A4,,0.5,mf
E-4.A4,,0.5,mf
F4.B-4,,0.5,mf
E-4.B4,,0.5,mf
E4.B4,,0.5,mf
E4.B-4.C5,,0.5,mf
A4.C5,,0.5,mf
A-4.D5,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-3.D4,,0.5,mf
B-3.D4.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E4,,0.5,mf
B-3.E4.G4,,0.5,mf
G3.E4,,0.5,mf
C4.E4.B-4,,0.5,mf
F3.D-4,,0.5,mf
B-3.D-4.E4,,0.5,mf
F3.C4,,0.5,mf
A-3.C4.F4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.A-4,,0.5,mf
G3.F4,,0.5,mf
D4.F4.G4,,0.5,mf
G3.E-4,,0.5,mf
C4.E-4.G4,,0.5,mf
G-3.E-4,,0.5,mf
C4.E-4.G-4,,0.5,mf
F3.E-4,,0.5,mf
B-3.E-4.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
C-4.E-4.A-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
C-4.E-4.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
C-4.E-4.A-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
C-4.E-4.A-4,,0.5,mf
G3.B-3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.A-4,,0.5,mf
F3.E-4,,0.5,mf
C4.E-4.F4,,0.5,mf
F3.E-4,,0.5,mf
B-3.E-4.A-4,,0.5,mf
F3.D4,,0.5,mf
B-3.D4.A-4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
E-,5,3.0,mf
G,5,3.0,mf
E-,5,3.0,mf
G,5,3.0,mf
B,5,0.5,mf
B-,5,0.5,mf
A,5,0.5,mf
A-,5,0.5,mf
G,5,0.5,mf
D,5,0.5,mf
E-,5,0.5,mf
E-5.E-6,,1.0,mf
E-5.E-6,,0.5,mf
F4.F5,,0.5,mf
C5.C6,,0.5,mf
B,5,3.0,mf
B-,5,3.0,mf
G4.E-5,,0.5,mf
B-,4,0.5,mf
G,5,0.5,mf
G4.E-5,,0.5,mf
B-,4,0.5,mf
G,5,0.5,mf
G4.E-5,,0.5,mf
B-,4,0.5,mf
G,5,0.5,mf
G4.E-5,,0.5,mf
B-,4,0.5,mf
G,5,0.5,mf
G4.E-5,,1.5,mf
G5.E-6,,1.5,mf
G3.E-4,,3.0,mf
E-,2,1.0,mf
E-,3,1.0,mf
E-,2,1.0,mf
D,2,1.0,mf
C,2,1.0,mf
C,3,1.0,mf
F,2,1.0,mf
F,2,1.0,mf
B-,2,1.0,mf
B,2,1.0,mf
C,3,1.0,mf
A,2,1.0,mf
B-,2,1.0,mf
B-,1,1.0,mf
E-,2,1.0,mf
E-,3,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
D2.D3,,1.0,mf
C2.C3,,1.0,mf
C2.C3,,1.0,mf
F,2,1.0,mf
F,2,1.0,mf
B-1.B-2,,1.0,mf
B1.B2,,1.0,mf
C2.C3,,1.0,mf
A1.A2,,1.0,mf
B-1.B-2,,1.0,mf
B-1.B-2,,1.0,mf
E-2.E-3,,1.0,mf
E-,3,1.0,mf
B-,2,1.5,mf
B-,2,1.5,mf
A,2,1.5,mf
A,2,1.5,mf
A-,2,1.0,mf
A-1.A-2,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E2.E3,,1.0,mf
E2.E3,,1.0,mf
F2.F3,,1.0,mf
G2.G3,,1.0,mf
C2.C3,,1.0,mf
F2.F3,,1.0,mf
B-3.D4,,0.5,mf
A,3,0.5,mf
G#,3,0.5,mf
G,3,0.5,mf
F3.E-4,,0.5,mf
B-3.F4,,0.5,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
D2.D3,,1.0,mf
C2.C3,,1.0,mf
C2.C3,,1.0,mf
F,2,1.0,mf
F,2,1.0,mf
B-1.B-2,,1.0,mf
B1.B2,,1.0,mf
C2.C3,,1.0,mf
A1.A2,,1.0,mf
B-1.B-2,,1.0,mf
B-1.B-2,,1.0,mf
E-2.E-3,,1.0,mf
E-,3,1.0,mf
B-,2,1.5,mf
B-,2,1.5,mf
A,2,1.5,mf
A,2,1.5,mf
A-,2,1.0,mf
A-1.A-2,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E2.E3,,1.0,mf
E2.E3,,1.0,mf
F2.F3,,1.0,mf
G2.G3,,1.0,mf
C2.C3,,1.0,mf
F2.F3,,1.0,mf
B-3.D4,,0.5,mf
A,3,0.5,mf
G#,3,0.5,mf
G,3,0.5,mf
F3.E-4,,0.5,mf
B-3.F4,,0.5,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
D2.D3,,1.0,mf
C2.C3,,1.0,mf
C2.C3,,1.0,mf
F,2,1.0,mf
F,2,1.0,mf
B-1.B-2,,1.0,mf
B1.B2,,1.0,mf
C2.C3,,1.0,mf
A1.A2,,1.0,mf
B-1.B-2,,1.0,mf
B-1.B-2,,1.0,mf
E-2.E-3,,1.0,mf
E-,3,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.5,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
E-2.E-3,,1.0,mf
A1.A2,,1.0,mf
B-1.B-2,,1.0,mf
B-1.B-2,,1.0,mf
E-2.E-3,,1.0,mf
E-,3,1.0,mf
A-1.A-2,,0.5,mf
E-3.A-3.C-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
C-4.E-4.A-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
E-3.A-3.C-4,,0.5,mf
E-2.E-3,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
E-,3,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A-1.A-2,,0.5,mf
E-3.A-3,,0.5,mf
A-3.C-4.E-4,,0.5,mf
C-4.E-4.A-4,,0.5,mf
A-3.C-4.E-4,,0.5,mf
E-3.A-3.C-4,,0.5,mf
E-2.G3,,0.5,mf
G3.E-4,,0.5,mf
B-3.E-4.G4,,0.5,mf
A2.A3,,0.5,mf
G3.E-4,,0.5,mf
G3.E-4,,0.5,mf
B-1.B-2,,0.5,mf
F3.B-3.E-4,,0.5,mf
B-3.E-4.A-4,,0.5,mf
B1.B2,,0.5,mf
G3.F4,,0.5,mf
D4.F4.G4,,0.5,mf
C2.C3,,0.5,mf
G3.E-4,,0.5,mf
C4.G4,,0.5,mf
A1.A2,,0.5,mf
F3.C4.E-4,,0.5,mf
C4.E-4.F4,,0.5,mf
B-,1,0.375,mf
B-,2,0.375,mf
F,3,0.375,mf
A-,3,0.375,mf
D,4,0.375,mf
B-,3,0.375,mf
F,4,0.375,mf
A-,4,0.375,mf
D,5,3.0,mf
E-,2,0.5,mf
B-,3,0.5,mf
B-,2,0.5,mf
E-,3,0.5,mf
B-,3,0.5,mf
B-,2,0.5,mf
E-,2,0.5,mf
B-,3,0.5,mf
B-,2,0.5,mf
E-,3,0.5,mf
B-,3,0.5,mf
B-2.B-3,,0.5,mf
E-3.B-3,,1.5,mf
E-4.B-4,,1.5,mf
E-2.B-2,,3.0,mf
