Key,Gate,Velo,Time,Bar,Part,Pitch,Octave,Duration,Dynamic
70,250.0,42,0,1,1,B-,4,0.5,mf
79,750.0,56,250.0,2,1,G,5,1.5,mf
79,250.0,56,1000.0,2,1,G,5,0.5,mf
77,250.0,58,1250.0,2,1,F,5,0.5,mf
79,250.0,68,1500.0,2,1,G,5,0.5,mf
77,750.0,56,1750.0,2,1,F,5,1.5,mf
75,500.0,50,2500.0,2,1,E-,5,1.0,mf
70,250.0,64,3000.0,2,1,B-,4,0.5,mf
79,500.0,66,3250.0,3,1,G,5,1.0,mf
72,50,64,3750.0,3,1,C,5,1/10,mf
73,50,64,3800.0,3,1,D-,5,1/10,mf
72,50,64,3850.0,3,1,C,5,1/10,mf
71,50,64,3900.0,3,1,B,4,1/10,mf
72,50,64,3950.0,3,1,C,5,1/10,mf
84,500.0,72,4000.0,3,1,C,6,1.0,mf
79,250.0,72,4500.0,3,1,G,5,0.5,mf
82,750.0,56,4750.0,3,1,B-,5,1.5,mf
80,500.0,54,5500.0,3,1,A-,5,1.0,mf
79,250.0,54,6000.0,3,1,G,5,0.5,mf
77,750.0,66,6250.0,4,1,F,5,1.5,mf
79,500.0,62,7000.0,4,1,G,5,1.0,mf
74,250.0,68,7500.0,4,1,D,5,0.5,mf
75,750.0,60,7750.0,4,1,E-,5,1.5,mf
72,750.0,62,8500.0,4,1,C,5,1.5,mf
70,250.0,60,9250.0,5,1,B-,4,0.5,mf
86,250.0,78,9500.0,5,1,D,6,0.5,mf
84,250.0,72,9750.0,5,1,C,6,0.5,mf
82,125.0,70,10000.0,5,1,B-,5,0.25,mf
80,125.0,67,10125.0,5,1,A-,5,0.25,mf
79,125.0,64,10250.0,5,1,G,5,0.25,mf
80,125.0,64,10375.0,5,1,A-,5,0.25,mf
72,125.0,56,10500.0,5,1,C,5,0.25,mf
74,125.0,56,10625.0,5,1,D,5,0.25,mf
75,750.0,48,10750.0,5,1,E-,5,1.5,mf
70,250.0,64,11500.0,5,1,B-,4,0.5,mf
79,750.0,64,11750.0,6,1,G,5,1.5,mf
77,125.0,64,12500.0,6,1,F,5,0.25,mf
79,125.0,64,12625.0,6,1,G,5,0.25,mf
77,125.0,64,12750.0,6,1,F,5,0.25,mf
76,125.0,64,12875.0,6,1,E,5,0.25,mf
77,125.0,64,13000.0,6,1,F,5,0.25,mf
79,125.0,64,13125.0,6,1,G,5,0.25,mf
77,250.0,64,13250.0,6,1,F,5,0.5,mf
75,500.0,64,13500.0,6,1,E-,5,1.0,mf
75,125.0,64,14000.0,6,1,E-,5,0.25,mf
77,125.0,64,14125.0,6,1,F,5,0.25,mf
75,125.0,64,14250.0,6,1,E-,5,0.25,mf
74,125.0,64,14375.0,6,1,D,5,0.25,mf
75,125.0,64,14500.0,6,1,E-,5,0.25,mf
77,125.0,64,14625.0,6,1,F,5,0.25,mf
79,125.0,64,14750.0,7,1,G,5,0.25,mf
71,125.0,64,14875.0,7,1,B,4,0.25,mf
72,125.0,64,15000.0,7,1,C,5,0.25,mf
73,125.0,64,15125.0,7,1,D-,5,0.25,mf
72,125.0,64,15250.0,7,1,C,5,0.25,mf
77,125.0,64,15375.0,7,1,F,5,0.25,mf
76,125.0,64,15500.0,7,1,E,5,0.25,mf
80,125.0,64,15625.0,7,1,A-,5,0.25,mf
79,125.0,64,15750.0,7,1,G,5,0.25,mf
