Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
66,120,60,0,1,2,s,1,2,non
70,120,60,120,1,2,s,3,2,non
73,120,60,240,1,2,s,4,2,non
70,120,60,360,1,2,s,5,2,non
66,120,60,480,1,2,s,6,2,non
73,120,60,600,1,2,s,7,2,non
73,840,60,720,1,2,0,8,2,non
54,120,60,720,1,5,s,9,2,non
58,120,60,840,1,5,s,10,2,non
61,120,60,960,1,5,s,11,2,non
58,120,60,1080,1,5,s,12,2,non
54,120,60,1200,1,5,s,13,2,non
63,120,60,1320,1,5,s,14,2,non
63,360,60,1440,2,5,d,15,2,non
70,120,60,1560,2,2,s,16,2,non
71,240,60,1680,2,2,e,17,2,non
61,360,60,1800,2,5,d,18,2,non
73,120,60,1920,2,2,s,19,2,non
70,240,60,2040,2,2,e,20,2,non
59,360,60,2160,2,5,d,21,2,non
75,120,60,2280,2,2,s,22,2,non
68,240,60,2400,2,2,e,23,2,non
58,360,60,2520,2,5,d,24,2,non
70,120,60,2640,2,2,s,25,2,non
66,240,60,2760,2,2,e,26,2,non
56,360,60,2880,3,5,d,27,2,non
71,120,60,3000,3,2,s,28,2,non
65,240,60,3120,3,2,e,29,2,non
54,360,60,3240,3,5,d,30,2,non
71,120,60,3360,3,2,s,31,2,non
63,240,60,3480,3,2,e,32,2,non
53,360,60,3600,3,5,d,33,2,non
71,120,60,3720,3,2,s,34,2,non
61,120,60,3840,3,2,s,35,2,non
65,120,60,3960,3,2,s,36,2,non
49,360,60,3960,3,5,d,37,2,non
68,120,60,4080,3,2,s,38,2,non
71,120,60,4200,3,2,s,39,2,non
70,120,60,4320,4,2,s,40,2,non
54,360,60,4320,4,5,d,41,2,non
66,120,60,4440,4,2,s,42,2,non
72,240,60,4560,4,2,e,43,2,non
56,360,60,4680,4,5,d,44,2,non
66,120,60,4800,4,2,s,45,2,non
73,240,60,4920,4,2,e,46,2,non
58,360,60,5040,4,5,d,47,2,non
66,120,60,5160,4,2,s,48,2,non
75,240,60,5280,4,2,e,49,2,non
60,360,60,5400,4,5,d,50,2,non
68,120,60,5520,4,2,s,51,2,non
77,240,60,5640,4,2,e,52,2,non
61,360,60,5760,5,5,d,53,2,non
80,120,60,5880,5,2,s,54,2,non
73,240,60,6000,5,2,e,55,2,non
56,360,60,6120,5,5,d,56,2,non
75,120,60,6240,5,2,s,57,2,non
72,120,60,6360,5,2,s,58,2,non
73,120,60,6480,5,2,s,59,2,non
58,360,60,6480,5,5,d,60,2,non
77,120,60,6600,5,2,s,61,2,non
73,120,60,6720,5,2,s,62,2,non
73,120,60,6840,5,2,s,63,2,non
53,360,60,6840,5,5,d,64,2,non
77,60,60,6960,5,2,t,65,2,non
75,60,60,7020,5,2,t,66,2,non
73,240,60,7080,5,2,e,67,2,non
54,360,60,7200,6,5,d,68,2,non
82,120,60,7320,6,2,s,69,2,non
73,240,60,7440,6,2,e,70,2,non
56,360,60,7560,6,5,d,71,2,non
75,120,60,7680,6,2,s,72,2,non
72,120,60,7800,6,2,s,73,2,non
73,120,60,7920,6,2,s,74,2,non
49,360,60,7920,6,5,d,75,2,non
77,120,60,8040,6,2,s,76,2,non
80,120,60,8160,6,2,s,77,2,non
77,120,60,8280,6,2,s,78,2,non
